entry_id,scenario_id,agent_type,provider,model_family,prompt_mode,risk_feedback_mode,parse_coverage,model_redacted,data_source,frequency,symbols,total_return,max_drawdown,fill_rate,rejected_orders,risk_edits,audit_coverage,reproducibility_hash,reproducibility_status,redaction_status,source_file
ta-aad1948b44bf,crisis_scene_llm_redacted_example,llm_policy,poe,frontier-chat-model-redacted,rationale,true,0.967,True,yahoo-finance-csv,hourly,3,0.0108,-0.0187,0.7816,28,196,1.0,sha256:aad1948b44bf9d607641a8b84455224c87d5bcc6446a8acf5bf2fc8f81f29ff0,Reproducible,Redacted,examples/benchmark_submissions/example_llm_redacted_submission.json
ta-ed2d5e4f2ff3,quickstart_core_synthetic_v0_1,deterministic,deterministic,signal-weighted-baseline,none,true,1.0,True,synthetic-market,daily,2,0.3507666274,-0.0126263887,0.9034090909,14,124,1.0,sha256:ed2d5e4f2ff3c87513c4b72ab96a375369150877e6771e7a86b5baa911e9c138,Reproducible,Redacted,examples/benchmark_submissions/example_redacted_submission.json
ta-1924d80a1f01,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,1.0,False,synthetic-market,daily,2,0.0256595690093544,-0.0008398349500295943,0.8333333333333334,0,12,1.0,sha256:1924d80a1f015a060321f401457e0243fd3831cdaa1e8cfb50be8af156d6833b,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__deepseek_deepseek_v4_flash.json
ta-ec719fd98b6d,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,1.0,False,synthetic-market,daily,2,0.02395016123958449,-0.0005222525977854886,0.6666666666666666,1,4,1.0,sha256:ec719fd98b6d272e4f52591324c3632fa7ffac4f23b5be46578f4e9d0ddd94db,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__deepseek_deepseek_v4_pro.json
ta-f377c7a750f3,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,1.0,False,synthetic-market,daily,2,0.030886452642615136,-0.0008398349500295943,0.8461538461538461,0,12,1.0,sha256:f377c7a750f3b6c7d5ec121d78cec8ef4cbc7e71a2a7f4215002e654b6e19acc,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_claude_opus_4_7.json
ta-43369d81d970,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,1.0,False,synthetic-market,daily,2,0.025349810909030213,-0.0008398349500295943,0.6666666666666666,2,6,1.0,sha256:43369d81d9708f699896e361e9b75ef063b11af40d706ac41e9b7e87c598c1f7,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_gemini_3_1_pro.json
ta-ee0a005f6c91,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,glm-5,rationale,true,1.0,False,synthetic-market,daily,2,0.0256595690093544,-0.0008398349500295943,0.8333333333333334,0,12,1.0,sha256:ee0a005f6c91c3bad8d0826b122b5d3a0b129968bb66f645b4371304ecc89361,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_glm_5.json
ta-0e024cf49171,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,gpt-5.5,rationale,true,1.0,False,synthetic-market,daily,2,0.028843014038501424,-0.0008398349500295943,0.8333333333333334,0,11,1.0,sha256:0e024cf49171ded99eb4ae54ca9ca7b7d27fa57c646b8d206e739c137cfcfac1,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_gpt_5_5.json
ta-657372beb82d,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,1.0,False,synthetic-market,daily,2,0.0319117870102712,-0.0008398349500295943,0.75,1,11,1.0,sha256:657372beb82d54f41b17eae2246090e69958614fe77785e09a85f45528e79cee,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_kimi_k2_5.json
ta-e44dbb8a0035,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,1.0,False,synthetic-market,daily,2,0.00327664662175553,-0.00754810941491646,0.7692307692307693,1,10,1.0,sha256:e44dbb8a00351cde2f94202f9b363a3a6f0be83d1ed26e3d3235ca6f6c20014c,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__deepseek_deepseek_v4_flash.json
