scenario_key,scenario_id,scenario_label,provider,model,parse_coverage,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,reproducibility_hash,submission,summary
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,1.0,0.009544787382853137,-0.056618626037848285,1.054812181416663,0.8333333333333334,3,37,7,1.0,sha256:63999bde59e3d19ade14e5e27a13220e187fd59e63d48f826c4fa36f24d36802,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,1.0,0.04864212103857812,-0.04226851863858172,3.8165569988781773,0.7307692307692307,6,24,9,1.0,sha256:1c64cbed98fef718591cdda009f8c3dddbeb43d10c0c6bf5d4551cd2d7816ab4,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,kimi-k2.5,1.0,0.005538251031219188,-0.056618626037848285,0.671755719790733,0.8275862068965517,4,37,7,1.0,sha256:28ae5bae300146ecf228094d2a310d76c05f84664f663bf472a51862fe46a987,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_kimi_k2_5.json,docs/results/real_market_matrix/recent_cross_asset__poe_kimi_k2_5_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,glm-5,1.0,0.006603659956621932,-0.056618626037848285,0.7759895449597302,0.8214285714285714,4,33,7,1.0,sha256:9ba5b135d7c86a44fb9ed9a24cb162fd9a56317185dcd24b69c091bbd68c36e3,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_glm_5.json,docs/results/real_market_matrix/recent_cross_asset__poe_glm_5_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,claude-opus-4.7,1.0,0.04390939585215947,-0.054031432443877536,3.5142865338467812,0.8125,3,40,7,1.0,sha256:65d1c40c584ac1ae6d3cea4456a4132ee46df8b73d321dd4b65c0e45ceaec38d,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_claude_opus_4_7.json,docs/results/real_market_matrix/recent_cross_asset__poe_claude_opus_4_7_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deepseek,deepseek-v4-flash,1.0,0.005538251031219188,-0.056618626037848285,0.671755719790733,0.8275862068965517,4,37,7,1.0,sha256:d523b8e4b38999090a0cf018739e838a8c289748e986fdfb47bcc39572981bd1,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_flash.json,docs/results/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_flash_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deepseek,deepseek-v4-pro,1.0,-0.005499841905285963,-0.050869846033576915,-0.5518037940012094,0.7692307692307693,5,25,11,1.0,sha256:f08d40e4f994283ce9ee23a111d3347cc85c3c61d51b9104bff1865c9faa5402,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_pro.json,docs/results/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_pro_summary.json
rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,poe,gpt-5.5,1.0,-0.13849449867400387,-0.185388751584192,-3.5748313314253326,0.72,5,22,5,1.0,sha256:40f60268d28ca78c101b05d2be2ae67f8687f498375d245bb53bf81d0aa780ae,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_gpt_5_5.json,docs/results/real_market_matrix/rates_drawdown__poe_gpt_5_5_summary.json
rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,poe,gemini-3.1-pro,1.0,-0.13847257847278582,-0.185368024563352,-3.574107199655091,0.68,6,21,5,1.0,sha256:32675b33dd34ce4c0138e873bbe39dee929bbe61d3ec55390ca093526693be8e,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_gemini_3_1_pro.json,docs/results/real_market_matrix/rates_drawdown__poe_gemini_3_1_pro_summary.json
rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,poe,kimi-k2.5,1.0,-0.12578731020932532,-0.1755132621389076,-3.2150726973826877,0.68,7,18,5,1.0,sha256:497057ffd1857eda0a232f50af72b746032f3c9a40c6736f62259d8a63b1bdcf,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_kimi_k2_5.json,docs/results/real_market_matrix/rates_drawdown__poe_kimi_k2_5_summary.json
